country,country_code_2_digit,country_code_3_digit,population,year_week,source,cases_count,deaths_count
Austria,AT,AUT,8858775,2020-33,TESSy COVID-19,1461,
Austria,AT,AUT,8858775,2020-34,TESSy COVID-19,1908,
Austria,AT,AUT,8858775,2020-35,TESSy COVID-19,1943,
Austria,AT,AUT,8858775,2020-36,TESSy COVID-19,2263,
Austria,AT,AUT,8858775,2020-37,TESSy COVID-19,3995,
Austria,AT,AUT,8858775,2020-38,TESSy COVID-19,5215,
Austria,AT,AUT,8858775,2020-39,TESSy COVID-19,4661,
Austria,AT,AUT,8858775,2020-40,TESSy COVID-19,5602,
Austria,AT,AUT,8858775,2020-41,TESSy COVID-19,7487,
Austria,AT,AUT,8858775,2020-42,TESSy COVID-19,9898,
Austria,AT,AUT,8858775,2020-43,TESSy COVID-19,18262,
Austria,AT,AUT,8858775,2020-44,TESSy COVID-19,31613,
Austria,AT,AUT,8858775,2020-45,TESSy COVID-19,44772,
Austria,AT,AUT,8858775,2020-46,TESSy COVID-19,47837,
Austria,AT,AUT,8858775,2020-47,TESSy COVID-19,40699,
Austria,AT,AUT,8858775,2020-48,TESSy COVID-19,31142,
Austria,AT,AUT,8858775,2020-49,TESSy COVID-19,23070,
Austria,AT,AUT,8858775,2020-50,TESSy COVID-19,18693,
Austria,AT,AUT,8858775,2020-51,TESSy COVID-19,14841,
Austria,AT,AUT,8858775,2020-52,TESSy COVID-19,13415,
Austria,AT,AUT,8858775,2020-53,TESSy COVID-19,14916,
Austria,AT,AUT,8858775,2021-01,TESSy COVID-19,14636,
Austria,AT,AUT,8858775,2021-02,TESSy COVID-19,10948,
Austria,AT,AUT,8858775,2021-03,TESSy COVID-19,10156,
Austria,AT,AUT,8858775,2021-04,TESSy COVID-19,9513,
Austria,AT,AUT,8858775,2021-05,TESSy COVID-19,9115,
Austria,AT,AUT,8858775,2021-06,TESSy COVID-19,9458,
Austria,AT,AUT,8858775,2021-07,TESSy COVID-19,11627,
Austria,AT,AUT,8858775,2021-08,TESSy COVID-19,14178,
Austria,AT,AUT,8858775,2021-09,TESSy COVID-19,16313,
Austria,AT,AUT,8858775,2021-10,TESSy COVID-19,18218,
Austria,AT,AUT,8858775,2021-11,TESSy COVID-19,21074,
Austria,AT,AUT,8858775,2021-12,TESSy COVID-19,22296,
Austria,AT,AUT,8858775,2021-13,TESSy COVID-19,20779,
Austria,AT,AUT,8858775,2021-14,TESSy COVID-19,17589,
Austria,AT,AUT,8858775,2021-15,TESSy COVID-19,16809,
Austria,AT,AUT,8858775,2021-16,TESSy COVID-19,15046,
Austria,AT,AUT,8858775,2021-17,TESSy COVID-19,12529,
Austria,AT,AUT,8858775,2021-18,TESSy COVID-19,9016,
Austria,AT,AUT,8858775,2021-19,TESSy COVID-19,5736,
Austria,AT,AUT,8858775,2021-20,TESSy COVID-19,4152,
Austria,AT,AUT,8858775,2021-21,TESSy COVID-19,3155,
Austria,AT,AUT,8858775,2021-22,TESSy COVID-19,2423,
Austria,AT,AUT,8858775,2021-23,TESSy COVID-19,1686,
Austria,AT,AUT,8858775,2021-24,TESSy COVID-19,1002,
Austria,AT,AUT,8858775,2021-25,TESSy COVID-19,681,
Austria,AT,AUT,8858775,2021-26,TESSy COVID-19,632,
Austria,AT,AUT,8858775,2021-27,TESSy COVID-19,1088,
Austria,AT,AUT,8858775,2021-28,TESSy COVID-19,2197,
Austria,AT,AUT,8858775,2021-29,TESSy COVID-19,2529,
Austria,AT,AUT,8858775,2021-30,TESSy COVID-19,3261,
Austria,AT,AUT,8858775,2021-31,TESSy COVID-19,3662,
Austria,AT,AUT,8858775,2021-32,TESSy COVID-19,5903,
Austria,AT,AUT,8858775,2021-33,TESSy COVID-19,8066,
Austria,AT,AUT,8858775,2021-34,TESSy COVID-19,9437,
Austria,AT,AUT,8858775,2021-35,TESSy COVID-19,11273,
Austria,AT,AUT,8858775,2021-36,TESSy COVID-19,14084,
Austria,AT,AUT,8858775,2021-37,TESSy COVID-19,13761,
Austria,AT,AUT,8858775,2021-38,TESSy COVID-19,11753,
Austria,AT,AUT,8858775,2021-39,TESSy COVID-19,12600,
Austria,AT,AUT,8858775,2021-40,TESSy COVID-19,12771,
Austria,AT,AUT,8858775,2021-41,TESSy COVID-19,15338,
Austria,AT,AUT,8858775,2021-42,TESSy COVID-19,23830,
Austria,AT,AUT,8858775,2021-43,TESSy COVID-19,34557,
Austria,AT,AUT,8858775,2021-44,TESSy COVID-19,56412,
Austria,AT,AUT,8858775,2021-45,TESSy COVID-19,78621,
Austria,AT,AUT,8858775,2021-46,TESSy COVID-19,97085,
Austria,AT,AUT,8858775,2021-47,TESSy COVID-19,82539,
Austria,AT,AUT,8858775,2021-48,TESSy COVID-19,50813,
Austria,AT,AUT,8858775,2021-49,TESSy COVID-19,29146,
Austria,AT,AUT,8858775,2021-50,TESSy COVID-19,18844,
Austria,AT,AUT,8858775,2021-51,TESSy COVID-19,14605,
Austria,AT,AUT,8858775,2021-52,TESSy COVID-19,23029,
Austria,AT,AUT,8858775,2022-01,TESSy COVID-19,62194,
Austria,AT,AUT,8858775,2022-02,TESSy COVID-19,110554,
Austria,AT,AUT,8858775,2022-03,TESSy COVID-19,175980,
Austria,AT,AUT,8858775,2022-04,TESSy COVID-19,227274,
Austria,AT,AUT,8858775,2022-05,TESSy COVID-19,231847,
Austria,AT,AUT,8858775,2022-06,TESSy COVID-19,216386,
Austria,AT,AUT,8858775,2022-07,TESSy COVID-19,195511,
Austria,AT,AUT,8858775,2022-08,TESSy COVID-19,185349,
Austria,AT,AUT,8858775,2022-09,TESSy COVID-19,217009,
Austria,AT,AUT,8858775,2022-10,TESSy COVID-19,299203,
Austria,AT,AUT,8858775,2022-11,TESSy COVID-19,315892,
Austria,AT,AUT,8858775,2022-12,TESSy COVID-19,248044,
Austria,AT,AUT,8858775,2022-13,TESSy COVID-19,151681,
Austria,AT,AUT,8858775,2022-14,TESSy COVID-19,96521,
Austria,AT,AUT,8858775,2022-15,TESSy COVID-19,63286,
Austria,AT,AUT,8858775,2022-16,TESSy COVID-19,48996,
Austria,AT,AUT,8858775,2022-17,TESSy COVID-19,40350,
Austria,AT,AUT,8858775,2022-18,TESSy COVID-19,36971,
Austria,AT,AUT,8858775,2022-19,TESSy COVID-19,29760,
Austria,AT,AUT,8858775,2022-20,TESSy COVID-19,20282,
Austria,AT,AUT,8858775,2022-21,TESSy COVID-19,15294,
Austria,AT,AUT,8858775,2022-22,TESSy COVID-19,19505,
Austria,AT,AUT,8858775,2022-23,TESSy COVID-19,25414,
Austria,AT,AUT,8858775,2022-24,TESSy COVID-19,40803,
Austria,AT,AUT,8858775,2022-25,TESSy COVID-19,60223,
Austria,AT,AUT,8858775,2022-26,TESSy COVID-19,71280,
Austria,AT,AUT,8858775,2022-27,TESSy COVID-19,73764,
Austria,AT,AUT,8858775,2022-28,TESSy COVID-19,83410,
Austria,AT,AUT,8858775,2022-29,TESSy COVID-19,79546,
Austria,AT,AUT,8858775,2022-30,TESSy COVID-19,54660,
Austria,AT,AUT,8858775,2022-31,TESSy COVID-19,42903,
Austria,AT,AUT,8858775,2022-32,TESSy COVID-19,38602,
Austria,AT,AUT,8858775,2022-33,TESSy COVID-19,37657,
Austria,AT,AUT,8858775,2022-34,TESSy COVID-19,33704,
Austria,AT,AUT,8858775,2022-35,TESSy COVID-19,29627,
Austria,AT,AUT,8858775,2022-36,TESSy COVID-19,28960,
Austria,AT,AUT,8858775,2022-37,TESSy COVID-19,36219,
Austria,AT,AUT,8858775,2022-38,TESSy COVID-19,52258,
Austria,AT,AUT,8858775,2022-39,TESSy COVID-19,83434,
Austria,AT,AUT,8858775,2022-40,TESSy COVID-19,97846,
Austria,AT,AUT,8858775,2022-41,TESSy COVID-19,86396,
Austria,AT,AUT,8858775,2022-42,TESSy COVID-19,58624,
Austria,AT,AUT,8858775,2022-43,TESSy COVID-19,37085,
Austria,AT,AUT,8858775,2022-44,TESSy COVID-19,29394,
Austria,AT,AUT,8858775,2022-45,TESSy COVID-19,24783,
Austria,AT,AUT,8858775,2022-46,TESSy COVID-19,27034,
Austria,AT,AUT,8858775,2022-47,TESSy COVID-19,30238,
Austria,AT,AUT,8858775,2022-48,TESSy COVID-19,33270,
Austria,AT,AUT,8858775,2022-49,TESSy COVID-19,33258,
Austria,AT,AUT,8858775,2022-50,TESSy COVID-19,34730,
Austria,AT,AUT,8858775,2022-51,TESSy COVID-19,32948,
Austria,AT,AUT,8858775,2022-52,TESSy COVID-19,24803,
Austria,AT,AUT,8858775,2023-01,TESSy COVID-19,18797,
Austria,AT,AUT,8858775,2023-02,TESSy COVID-19,14951,
Austria,AT,AUT,8858775,2023-03,TESSy COVID-19,13848,
Austria,AT,AUT,8858775,2023-04,TESSy COVID-19,19928,
Austria,AT,AUT,8858775,2023-05,TESSy COVID-19,26725,
Austria,AT,AUT,8858775,2023-06,TESSy COVID-19,28849,
Austria,AT,AUT,8858775,2023-07,TESSy COVID-19,34144,
Austria,AT,AUT,8858775,2023-08,TESSy COVID-19,38954,
Austria,AT,AUT,8858775,2023-09,TESSy COVID-19,37924,
Austria,AT,AUT,8858775,2023-10,TESSy COVID-19,33257,
Austria,AT,AUT,8858775,2023-11,TESSy COVID-19,27076,
Austria,AT,AUT,8858775,2023-12,TESSy COVID-19,21252,
Austria,AT,AUT,8858775,2023-13,TESSy COVID-19,13065,
Austria,AT,AUT,8858775,2023-14,TESSy COVID-19,8979,
Austria,AT,AUT,8858775,2023-15,TESSy COVID-19,7160,
Austria,AT,AUT,8858775,2023-16,TESSy COVID-19,6588,
Austria,AT,AUT,8858775,2023-17,TESSy COVID-19,5175,
Austria,AT,AUT,8858775,2023-18,TESSy COVID-19,3629,
Austria,AT,AUT,8858775,2023-19,TESSy COVID-19,2825,
Austria,AT,AUT,8858775,2023-20,TESSy COVID-19,2219,
Austria,AT,AUT,8858775,2023-21,TESSy COVID-19,2117,
Austria,AT,AUT,8858775,2023-22,TESSy COVID-19,1412,
Austria,AT,AUT,8858775,2023-23,TESSy COVID-19,1087,
Austria,AT,AUT,8858775,2023-24,TESSy COVID-19,970,
Austria,AT,AUT,8858775,2023-25,TESSy COVID-19,825,
Austria,AT,AUT,8858775,2023-26,TESSy COVID-19,,
Austria,AT,AUT,8858775,2023-27,TESSy COVID-19,,
Austria,AT,AUT,8858775,2023-28,TESSy COVID-19,,
Austria,AT,AUT,8858775,2023-29,TESSy COVID-19,,
Austria,AT,AUT,8858775,2023-30,TESSy COVID-19,,
Austria,AT,AUT,8858775,2023-31,TESSy COVID-19,,
Austria,AT,AUT,8858775,2023-32,TESSy COVID-19,,
Austria,AT,AUT,8858775,2023-33,TESSy COVID-19,,
Austria,AT,AUT,8858775,2023-34,TESSy COVID-19,,
Austria,AT,AUT,8858775,2023-35,TESSy COVID-19,,
Austria,AT,AUT,8858775,2020-09,TESSy COVID-19,,0
Austria,AT,AUT,8858775,2020-10,TESSy COVID-19,,0
Austria,AT,AUT,8858775,2020-11,TESSy COVID-19,,2
Austria,AT,AUT,8858775,2020-12,TESSy COVID-19,,30
Austria,AT,AUT,8858775,2020-13,TESSy COVID-19,,101
Austria,AT,AUT,8858775,2020-14,TESSy COVID-19,,126
Austria,AT,AUT,8858775,2020-15,TESSy COVID-19,,150
Austria,AT,AUT,8858775,2020-16,TESSy COVID-19,,120
Austria,AT,AUT,8858775,2020-17,TESSy COVID-19,,78
Austria,AT,AUT,8858775,2020-18,TESSy COVID-19,,51
Austria,AT,AUT,8858775,2020-19,TESSy COVID-19,,32
Austria,AT,AUT,8858775,2020-20,TESSy COVID-19,,15
Austria,AT,AUT,8858775,2020-21,TESSy COVID-19,,17
Austria,AT,AUT,8858775,2020-22,TESSy COVID-19,,15
Austria,AT,AUT,8858775,2020-23,TESSy COVID-19,,15
Austria,AT,AUT,8858775,2020-24,TESSy COVID-19,,15
Austria,AT,AUT,8858775,2020-25,TESSy COVID-19,,17
Austria,AT,AUT,8858775,2020-26,TESSy COVID-19,,17
Austria,AT,AUT,8858775,2020-27,TESSy COVID-19,,9
Austria,AT,AUT,8858775,2020-28,TESSy COVID-19,,7
Austria,AT,AUT,8858775,2020-29,TESSy COVID-19,,10
Austria,AT,AUT,8858775,2020-30,TESSy COVID-19,,8
Austria,AT,AUT,8858775,2020-31,TESSy COVID-19,,17
Austria,AT,AUT,8858775,2020-32,TESSy COVID-19,,12
Austria,AT,AUT,8858775,2020-33,TESSy COVID-19,,10
Austria,AT,AUT,8858775,2020-34,TESSy COVID-19,,13
Austria,AT,AUT,8858775,2020-35,TESSy COVID-19,,6
Austria,AT,AUT,8858775,2020-36,TESSy COVID-19,,16
Austria,AT,AUT,8858775,2020-37,TESSy COVID-19,,15
Austria,AT,AUT,8858775,2020-38,TESSy COVID-19,,24
Austria,AT,AUT,8858775,2020-39,TESSy COVID-19,,34
Austria,AT,AUT,8858775,2020-40,TESSy COVID-19,,40
Austria,AT,AUT,8858775,2020-41,TESSy COVID-19,,71
Austria,AT,AUT,8858775,2020-42,TESSy COVID-19,,65
Austria,AT,AUT,8858775,2020-43,TESSy COVID-19,,126
Austria,AT,AUT,8858775,2020-44,TESSy COVID-19,,261
Austria,AT,AUT,8858775,2020-45,TESSy COVID-19,,397
Austria,AT,AUT,8858775,2020-46,TESSy COVID-19,,623
Austria,AT,AUT,8858775,2020-47,TESSy COVID-19,,766
Austria,AT,AUT,8858775,2020-48,TESSy COVID-19,,858
Austria,AT,AUT,8858775,2020-49,TESSy COVID-19,,921
Austria,AT,AUT,8858775,2020-50,TESSy COVID-19,,849
Austria,AT,AUT,8858775,2020-51,TESSy COVID-19,,704
Austria,AT,AUT,8858775,2020-52,TESSy COVID-19,,615
Austria,AT,AUT,8858775,2020-53,TESSy COVID-19,,517
Austria,AT,AUT,8858775,2021-01,TESSy COVID-19,,436
Austria,AT,AUT,8858775,2021-02,TESSy COVID-19,,450
Austria,AT,AUT,8858775,2021-03,TESSy COVID-19,,400
Austria,AT,AUT,8858775,2021-04,TESSy COVID-19,,369
Austria,AT,AUT,8858775,2021-05,TESSy COVID-19,,298
Austria,AT,AUT,8858775,2021-06,TESSy COVID-19,,253
Austria,AT,AUT,8858775,2021-07,TESSy COVID-19,,218
Austria,AT,AUT,8858775,2021-08,TESSy COVID-19,,224
Austria,AT,AUT,8858775,2021-09,TESSy COVID-19,,190
Austria,AT,AUT,8858775,2021-10,TESSy COVID-19,,214
Austria,AT,AUT,8858775,2021-11,TESSy COVID-19,,246
Austria,AT,AUT,8858775,2021-12,TESSy COVID-19,,216
Austria,AT,AUT,8858775,2021-13,TESSy COVID-19,,271
Austria,AT,AUT,8858775,2021-14,TESSy COVID-19,,251
Austria,AT,AUT,8858775,2021-15,TESSy COVID-19,,245
Austria,AT,AUT,8858775,2021-16,TESSy COVID-19,,200
Austria,AT,AUT,8858775,2021-17,TESSy COVID-19,,194
Austria,AT,AUT,8858775,2021-18,TESSy COVID-19,,157
Austria,AT,AUT,8858775,2021-19,TESSy COVID-19,,105
Austria,AT,AUT,8858775,2021-20,TESSy COVID-19,,73
Austria,AT,AUT,8858775,2021-21,TESSy COVID-19,,72
Austria,AT,AUT,8858775,2021-22,TESSy COVID-19,,48
Austria,AT,AUT,8858775,2021-23,TESSy COVID-19,,37
Austria,AT,AUT,8858775,2021-24,TESSy COVID-19,,33
Austria,AT,AUT,8858775,2021-25,TESSy COVID-19,,19
Austria,AT,AUT,8858775,2021-26,TESSy COVID-19,,24
Austria,AT,AUT,8858775,2021-27,TESSy COVID-19,,12
Austria,AT,AUT,8858775,2021-28,TESSy COVID-19,,14
Austria,AT,AUT,8858775,2021-29,TESSy COVID-19,,16
Austria,AT,AUT,8858775,2021-30,TESSy COVID-19,,15
Austria,AT,AUT,8858775,2021-31,TESSy COVID-19,,19
Austria,AT,AUT,8858775,2021-32,TESSy COVID-19,,16
Austria,AT,AUT,8858775,2021-33,TESSy COVID-19,,13
Austria,AT,AUT,8858775,2021-34,TESSy COVID-19,,34
Austria,AT,AUT,8858775,2021-35,TESSy COVID-19,,44
Austria,AT,AUT,8858775,2021-36,TESSy COVID-19,,51
Austria,AT,AUT,8858775,2021-37,TESSy COVID-19,,86
Austria,AT,AUT,8858775,2021-38,TESSy COVID-19,,73
Austria,AT,AUT,8858775,2021-39,TESSy COVID-19,,80
Austria,AT,AUT,8858775,2021-40,TESSy COVID-19,,73
Austria,AT,AUT,8858775,2021-41,TESSy COVID-19,,106
Austria,AT,AUT,8858775,2021-42,TESSy COVID-19,,112
Austria,AT,AUT,8858775,2021-43,TESSy COVID-19,,141
Austria,AT,AUT,8858775,2021-44,TESSy COVID-19,,208
Austria,AT,AUT,8858775,2021-45,TESSy COVID-19,,334
Austria,AT,AUT,8858775,2021-46,TESSy COVID-19,,395
Austria,AT,AUT,8858775,2021-47,TESSy COVID-19,,481
Austria,AT,AUT,8858775,2021-48,TESSy COVID-19,,480
Austria,AT,AUT,8858775,2021-49,TESSy COVID-19,,406
Austria,AT,AUT,8858775,2021-50,TESSy COVID-19,,281
Austria,AT,AUT,8858775,2021-51,TESSy COVID-19,,172
Austria,AT,AUT,8858775,2021-52,TESSy COVID-19,,128
Austria,AT,AUT,8858775,2022-01,TESSy COVID-19,,91
Austria,AT,AUT,8858775,2022-02,TESSy COVID-19,,69
Austria,AT,AUT,8858775,2022-03,TESSy COVID-19,,80
Austria,AT,AUT,8858775,2022-04,TESSy COVID-19,,109
Austria,AT,AUT,8858775,2022-05,TESSy COVID-19,,141
Austria,AT,AUT,8858775,2022-06,TESSy COVID-19,,181
Austria,AT,AUT,8858775,2022-07,TESSy COVID-19,,197
Austria,AT,AUT,8858775,2022-08,TESSy COVID-19,,219
Austria,AT,AUT,8858775,2022-09,TESSy COVID-19,,221
Austria,AT,AUT,8858775,2022-10,TESSy COVID-19,,195
Austria,AT,AUT,8858775,2022-11,TESSy COVID-19,,239
Austria,AT,AUT,8858775,2022-12,TESSy COVID-19,,290
Austria,AT,AUT,8858775,2022-13,TESSy COVID-19,,285
Austria,AT,AUT,8858775,2022-14,TESSy COVID-19,,216
Austria,AT,AUT,8858775,2022-15,TESSy COVID-19,,162
Austria,AT,AUT,8858775,2022-16,TESSy COVID-19,,129
Austria,AT,AUT,8858775,2022-17,TESSy COVID-19,,91
Austria,AT,AUT,8858775,2022-18,TESSy COVID-19,,80
Austria,AT,AUT,8858775,2022-19,TESSy COVID-19,,42
Austria,AT,AUT,8858775,2022-20,TESSy COVID-19,,36
Austria,AT,AUT,8858775,2022-21,TESSy COVID-19,,33
Austria,AT,AUT,8858775,2022-22,TESSy COVID-19,,24
Austria,AT,AUT,8858775,2022-23,TESSy COVID-19,,24
Austria,AT,AUT,8858775,2022-24,TESSy COVID-19,,28
Austria,AT,AUT,8858775,2022-25,TESSy COVID-19,,38
Austria,AT,AUT,8858775,2022-26,TESSy COVID-19,,49
Austria,AT,AUT,8858775,2022-27,TESSy COVID-19,,68
Austria,AT,AUT,8858775,2022-28,TESSy COVID-19,,61
Austria,AT,AUT,8858775,2022-29,TESSy COVID-19,,96
Austria,AT,AUT,8858775,2022-30,TESSy COVID-19,,103
Austria,AT,AUT,8858775,2022-31,TESSy COVID-19,,68
Austria,AT,AUT,8858775,2022-32,TESSy COVID-19,,71
Austria,AT,AUT,8858775,2022-33,TESSy COVID-19,,62
Austria,AT,AUT,8858775,2022-34,TESSy COVID-19,,53
Austria,AT,AUT,8858775,2022-35,TESSy COVID-19,,38
Austria,AT,AUT,8858775,2022-36,TESSy COVID-19,,47
Austria,AT,AUT,8858775,2022-37,TESSy COVID-19,,30
Austria,AT,AUT,8858775,2022-38,TESSy COVID-19,,38
Austria,AT,AUT,8858775,2022-39,TESSy COVID-19,,47
Austria,AT,AUT,8858775,2022-40,TESSy COVID-19,,103
Austria,AT,AUT,8858775,2022-41,TESSy COVID-19,,87
Austria,AT,AUT,8858775,2022-42,TESSy COVID-19,,79
Austria,AT,AUT,8858775,2022-43,TESSy COVID-19,,76
Austria,AT,AUT,8858775,2022-44,TESSy COVID-19,,52
Austria,AT,AUT,8858775,2022-45,TESSy COVID-19,,53
Austria,AT,AUT,8858775,2022-46,TESSy COVID-19,,55
Austria,AT,AUT,8858775,2022-47,TESSy COVID-19,,43
Austria,AT,AUT,8858775,2022-48,TESSy COVID-19,,53
Austria,AT,AUT,8858775,2022-49,TESSy COVID-19,,42
Austria,AT,AUT,8858775,2022-50,TESSy COVID-19,,58
Austria,AT,AUT,8858775,2022-51,TESSy COVID-19,,73
Austria,AT,AUT,8858775,2022-52,TESSy COVID-19,,77
Austria,AT,AUT,8858775,2023-01,TESSy COVID-19,,64
Austria,AT,AUT,8858775,2023-02,TESSy COVID-19,,54
Austria,AT,AUT,8858775,2023-03,TESSy COVID-19,,45
Austria,AT,AUT,8858775,2023-04,TESSy COVID-19,,48
Austria,AT,AUT,8858775,2023-05,TESSy COVID-19,,47
Austria,AT,AUT,8858775,2023-06,TESSy COVID-19,,37
Austria,AT,AUT,8858775,2023-07,TESSy COVID-19,,35
Austria,AT,AUT,8858775,2023-08,TESSy COVID-19,,59
Austria,AT,AUT,8858775,2023-09,TESSy COVID-19,,64
Austria,AT,AUT,8858775,2023-10,TESSy COVID-19,,60
Austria,AT,AUT,8858775,2023-11,TESSy COVID-19,,56
Austria,AT,AUT,8858775,2023-12,TESSy COVID-19,,50
Austria,AT,AUT,8858775,2023-13,TESSy COVID-19,,45
Austria,AT,AUT,8858775,2023-14,TESSy COVID-19,,31
Austria,AT,AUT,8858775,2023-15,TESSy COVID-19,,31
Austria,AT,AUT,8858775,2023-16,TESSy COVID-19,,38
Austria,AT,AUT,8858775,2023-17,TESSy COVID-19,,24
Austria,AT,AUT,8858775,2023-18,TESSy COVID-19,,22
Austria,AT,AUT,8858775,2023-19,TESSy COVID-19,,11
Austria,AT,AUT,8858775,2023-20,TESSy COVID-19,,14
Austria,AT,AUT,8858775,2023-21,TESSy COVID-19,,10
Austria,AT,AUT,8858775,2023-22,TESSy COVID-19,,9
Austria,AT,AUT,8858775,2023-23,TESSy COVID-19,,7
Austria,AT,AUT,8858775,2023-24,TESSy COVID-19,,5
Austria,AT,AUT,8858775,2023-25,TESSy COVID-19,,5
Belgium,BE,BEL,11455519,2020-01,TESSy COVID-19,,
Belgium,BE,BEL,11455519,2020-02,TESSy COVID-19,,
Belgium,BE,BEL,11455519,2020-03,TESSy COVID-19,,
Belgium,BE,BEL,11455519,2020-04,TESSy COVID-19,,
Belgium,BE,BEL,11455519,2020-05,TESSy COVID-19,2,
Belgium,BE,BEL,11455519,2020-06,TESSy COVID-19,1,
Belgium,BE,BEL,11455519,2020-07,TESSy COVID-19,0,
Belgium,BE,BEL,11455519,2020-08,TESSy COVID-19,0,
Belgium,BE,BEL,11455519,2020-09,TESSy COVID-19,0,
Belgium,BE,BEL,11455519,2020-10,TESSy COVID-19,0,
Belgium,BE,BEL,11455519,2020-11,TESSy COVID-19,3678,
Belgium,BE,BEL,11455519,2020-12,TESSy COVID-19,3673,
Belgium,BE,BEL,11455519,2020-13,TESSy COVID-19,8130,
Belgium,BE,BEL,11455519,2020-14,TESSy COVID-19,9694,
Belgium,BE,BEL,11455519,2020-15,TESSy COVID-19,11175,
Belgium,BE,BEL,11455519,2020-16,TESSy COVID-19,7963,
Belgium,BE,BEL,11455519,2020-17,TESSy COVID-19,5703,
Belgium,BE,BEL,11455519,2020-18,TESSy COVID-19,3095,
Belgium,BE,BEL,11455519,2020-19,TESSy COVID-19,3051,
Belgium,BE,BEL,11455519,2020-20,TESSy COVID-19,2071,
Belgium,BE,BEL,11455519,2020-21,TESSy COVID-19,1510,
Belgium,BE,BEL,11455519,2020-22,TESSy COVID-19,1144,
Belgium,BE,BEL,11455519,2020-23,TESSy COVID-19,847,
Belgium,BE,BEL,11455519,2020-24,TESSy COVID-19,671,
Belgium,BE,BEL,11455519,2020-25,TESSy COVID-19,668,
Belgium,BE,BEL,11455519,2020-26,TESSy COVID-19,607,
Belgium,BE,BEL,11455519,2020-27,TESSy COVID-19,637,
Belgium,BE,BEL,11455519,2020-28,TESSy COVID-19,704,
Belgium,BE,BEL,11455519,2020-29,TESSy COVID-19,1385,
Belgium,BE,BEL,11455519,2020-30,TESSy COVID-19,2489,
Belgium,BE,BEL,11455519,2020-31,TESSy COVID-19,3759,
Belgium,BE,BEL,11455519,2020-32,TESSy COVID-19,4340,
Belgium,BE,BEL,11455519,2020-33,TESSy COVID-19,3751,
Belgium,BE,BEL,11455519,2020-34,TESSy COVID-19,3453,
Belgium,BE,BEL,11455519,2020-35,TESSy COVID-19,3121,
Belgium,BE,BEL,11455519,2020-36,TESSy COVID-19,3655,
Belgium,BE,BEL,11455519,2020-37,TESSy COVID-19,6158,
Belgium,BE,BEL,11455519,2020-38,TESSy COVID-19,10108,
Belgium,BE,BEL,11455519,2020-39,TESSy COVID-19,11274,
Belgium,BE,BEL,11455519,2020-40,TESSy COVID-19,18895,
Belgium,BE,BEL,11455519,2020-41,TESSy COVID-19,38852,
Belgium,BE,BEL,11455519,2020-42,TESSy COVID-19,72232,
Belgium,BE,BEL,11455519,2020-43,TESSy COVID-19,105383,
Belgium,BE,BEL,11455519,2020-44,TESSy COVID-19,99584,
Belgium,BE,BEL,11455519,2020-45,TESSy COVID-19,54006,
Belgium,BE,BEL,11455519,2020-46,TESSy COVID-19,33967,
Belgium,BE,BEL,11455519,2020-47,TESSy COVID-19,22312,
Belgium,BE,BEL,11455519,2020-48,TESSy COVID-19,16261,
Belgium,BE,BEL,11455519,2020-49,TESSy COVID-19,15289,
